Infotrol,
16:22:10,viernes, 22 de enero de 2021,

,,,%Anode d1-5%,,,

,VP,VP,VP,                    ,VP,VP
,00108 RSSI          ,00108 Inc_m         ,00108 Inc_max       ,                    ,00108 Num_Pkt       ,00108 Ianode        
22/01 14:25:05,-21,0,0,                    ,185,-22.99
22/01 14:25:06,-21,0,0,                    ,185,-25.41
22/01 14:25:07,-21,0,0,                    ,185,-25.41
22/01 14:25:08,-21,0,0,                    ,185,-25.41
22/01 14:25:09,-21,0,0,                    ,185,-25.41
22/01 14:25:10,-21,0,0,                    ,185,-25.41
22/01 14:25:11,-21,0,0,                    ,187,-25.41
22/01 14:25:12,-21,0,0,                    ,187,-25.41
22/01 14:25:13,-22,0,0,                    ,188,-25.41
22/01 14:25:14,-22,0,0,                    ,188,-25.41
22/01 14:25:15,-21,0,0,                    ,189,-26.62
22/01 14:25:16,-21,0,0,                    ,189,-26.62
22/01 14:25:17,-21,0,0,                    ,190,-25.41
22/01 14:25:18,-21,0,0,                    ,190,-25.41
22/01 14:25:19,-21,0,0,                    ,190,-25.41
22/01 14:25:20,-21,0,0,                    ,190,-25.41
22/01 14:25:21,-21,0,0,                    ,190,-25.41
22/01 14:25:22,-19,0,0,                    ,192,-25.41
22/01 14:25:23,-19,0,0,                    ,192,-25.41
22/01 14:25:24,-21,0,0,                    ,193,-22.99
22/01 14:25:25,-21,0,0,                    ,193,-22.99
22/01 14:25:26,-21,0,0,                    ,193,-25.41
22/01 14:25:27,-21,0,0,                    ,193,-25.41
22/01 14:25:28,-21,0,0,                    ,195,-25.41
22/01 14:25:29,-21,0,0,                    ,195,-25.41
22/01 14:25:30,-21,0,0,                    ,195,-25.41
22/01 14:25:31,-21,0,0,                    ,195,-25.41
22/01 14:25:33,-21,0,0,                    ,195,-25.41
22/01 14:25:34,-21,0,0,                    ,195,-25.41
22/01 14:25:35,-21,0,0,                    ,195,-25.41
22/01 14:25:36,-22,0,0,                    ,197,-25.41
22/01 14:25:37,-22,0,0,                    ,197,-25.41
22/01 14:25:38,-21,0,0,                    ,198,-26.62
22/01 14:25:39,-21,0,0,                    ,198,-26.62
22/01 14:25:40,-21,0,0,                    ,198,-25.41
22/01 14:25:41,-21,0,0,                    ,198,-25.41
22/01 14:25:42,-21,0,0,                    ,198,-25.41
22/01 14:25:43,-21,0,0,                    ,200,-25.41
22/01 14:25:44,-21,0,0,                    ,200,-25.41
22/01 14:25:45,-22,0,0,                    ,201,-25.41
22/01 14:25:46,-22,0,0,                    ,201,-25.41
22/01 14:25:47,-22,0,0,                    ,201,-26.62
22/01 14:25:48,-22,0,0,                    ,201,-26.62
22/01 14:25:49,-21,0,0,                    ,203,-26.62
22/01 14:25:50,-21,0,0,                    ,203,-26.62
22/01 14:25:51,-21,0,0,                    ,203,-25.41
22/01 14:25:52,-21,0,0,                    ,203,-25.41
22/01 14:25:53,-21,0,0,                    ,203,-25.41
22/01 14:25:54,-21,0,0,                    ,203,-25.41
22/01 14:25:55,-21,0,0,                    ,203,-25.41
22/01 14:25:56,-19,0,0,                    ,205,-25.41
22/01 14:25:57,-19,0,0,                    ,205,-22.99
22/01 14:25:58,-21,0,0,                    ,206,-22.99
22/01 14:25:59,-21,0,0,                    ,206,-25.41
22/01 14:26:00,-21,0,0,                    ,206,-25.41
22/01 14:26:01,-21,0,0,                    ,206,-25.41
22/01 14:26:02,-21,0,0,                    ,208,-25.41
22/01 14:26:03,-21,0,0,                    ,208,-25.41
22/01 14:26:04,-21,0,0,                    ,208,-25.41
22/01 14:26:05,-21,0,0,                    ,208,-25.41
22/01 14:26:06,-21,0,0,                    ,208,-25.41
22/01 14:26:07,-21,0,0,                    ,208,-25.41
22/01 14:26:08,-21,0,0,                    ,208,-25.41
22/01 14:26:09,-22,0,0,                    ,210,-25.41
22/01 14:26:10,-22,0,0,                    ,210,-26.62
22/01 14:26:11,-22,0,0,                    ,211,-26.62
22/01 14:26:12,-22,0,0,                    ,211,-26.62
22/01 14:26:13,-22,0,0,                    ,212,-26.62
22/01 14:26:14,-22,0,0,                    ,212,-26.62
22/01 14:26:15,-19,0,0,                    ,213,-26.62
22/01 14:26:16,-19,0,0,                    ,213,-26.62
22/01 14:26:17,-19,0,0,                    ,213,-22.99
22/01 14:26:18,-19,0,0,                    ,213,-22.99
22/01 14:26:19,-19,0,0,                    ,213,-22.99
22/01 14:26:20,-21,0,0,                    ,215,-22.99
22/01 14:26:21,-21,0,0,                    ,215,-22.99
22/01 14:26:22,-21,0,0,                    ,215,-25.41
22/01 14:26:23,-21,0,0,                    ,215,-25.41
22/01 14:26:24,-21,0,0,                    ,215,-25.41
22/01 14:26:25,-21,0,0,                    ,216,-25.41
22/01 14:26:26,-21,0,0,                    ,216,-25.41
22/01 14:26:27,-22,0,0,                    ,218,-25.41
22/01 14:26:28,-22,0,0,                    ,218,-25.41
22/01 14:26:29,-21,0,0,                    ,219,-26.62
22/01 14:26:30,-21,0,0,                    ,219,-26.62
22/01 14:26:31,-21,0,0,                    ,219,-25.41
22/01 14:26:32,-21,0,0,                    ,220,-25.41
22/01 14:26:33,-21,0,0,                    ,220,-25.41
22/01 14:26:34,-21,0,0,                    ,221,-25.41
22/01 14:26:35,-21,0,0,                    ,221,-25.41
22/01 14:26:36,-21,0,0,                    ,221,-25.41
22/01 14:26:37,-21,0,0,                    ,221,-25.41
22/01 14:26:38,-21,0,0,                    ,221,-25.41
22/01 14:26:39,-19,0,0,                    ,222,-25.41
22/01 14:26:40,-19,0,0,                    ,222,-22.99
22/01 14:26:41,-20,0,0,                    ,223,-22.99
22/01 14:26:42,-20,0,0,                    ,223,-22.99
22/01 14:26:43,-20,0,0,                    ,224,-24.2
22/01 14:26:45,-20,0,0,                    ,224,-24.2
22/01 14:26:46,-20,0,0,                    ,224,-24.2
22/01 14:26:47,-20,0,0,                    ,225,-24.2
22/01 14:26:48,-20,0,0,                    ,225,-24.2
22/01 14:26:49,-20,0,0,                    ,226,-24.2
22/01 14:26:50,-20,0,0,                    ,226,-24.2
22/01 14:26:51,-20,0,0,                    ,226,-24.2
22/01 14:26:52,-20,0,0,                    ,226,-24.2
22/01 14:26:53,-22,0,0,                    ,228,-24.2
22/01 14:26:54,-22,0,0,                    ,228,-24.2
22/01 14:26:55,-22,0,0,                    ,229,-26.62
22/01 14:26:56,-22,0,0,                    ,229,-26.62
22/01 14:26:57,-22,0,0,                    ,229,-26.62
22/01 14:26:58,-20,0,0,                    ,230,-26.62
22/01 14:26:59,-20,0,0,                    ,230,-26.62
22/01 14:27:00,-24,0,0,                    ,231,-24.2
22/01 14:27:01,-24,0,0,                    ,231,-24.2
22/01 14:27:02,-24,0,0,                    ,231,-29.04
22/01 14:27:03,-24,0,0,                    ,231,-29.04
22/01 14:27:04,-22,0,0,                    ,233,-29.04
22/01 14:27:05,-22,0,0,                    ,233,-29.04
22/01 14:27:06,-22,0,0,                    ,233,-26.62
22/01 14:27:07,-22,0,0,                    ,234,-26.62
22/01 14:27:08,-22,0,0,                    ,234,-26.62
22/01 14:27:09,-22,0,0,                    ,234,-26.62
22/01 14:27:10,-22,0,0,                    ,234,-26.62
22/01 14:27:11,-22,0,0,                    ,234,-26.62
22/01 14:27:12,-22,0,0,                    ,234,-26.62
22/01 14:27:13,-24,0,0,                    ,236,-26.62
22/01 14:27:14,-24,0,0,                    ,236,-26.62
22/01 14:27:15,-24,0,0,                    ,236,-29.04
22/01 14:27:16,-24,0,0,                    ,236,-29.04
22/01 14:27:17,-24,0,0,                    ,236,-29.04
22/01 14:27:18,-24,0,0,                    ,238,-29.04
22/01 14:27:19,-24,0,0,                    ,238,-29.04
22/01 14:27:20,-20,0,0,                    ,239,-29.04
22/01 14:27:21,-20,0,0,                    ,239,-29.04
22/01 14:27:22,-20,0,0,                    ,239,-24.2
22/01 14:27:23,-20,0,0,                    ,239,-24.2
22/01 14:27:24,-24,0,0,                    ,240,-24.2
22/01 14:27:25,-24,0,0,                    ,240,-24.2
22/01 14:27:26,-24,0,0,                    ,240,-29.04
22/01 14:27:27,-22,0,0,                    ,241,-29.04
22/01 14:27:28,-22,0,0,                    ,241,-26.62
22/01 14:27:29,-22,0,0,                    ,241,-26.62
22/01 14:27:30,-22,0,0,                    ,241,-26.62
22/01 14:27:31,-20,0,0,                    ,243,-26.62
22/01 14:27:32,-20,0,0,                    ,243,-26.62
22/01 14:27:33,-24,0,0,                    ,244,-24.2
22/01 14:27:34,-24,0,0,                    ,244,-24.2
22/01 14:27:35,-24,0,0,                    ,244,-29.04
22/01 14:27:36,-24,0,0,                    ,244,-29.04
22/01 14:27:37,-24,0,0,                    ,244,-29.04
22/01 14:27:38,-22,0,0,                    ,246,-29.04
22/01 14:27:39,-22,0,0,                    ,246,-26.62
22/01 14:27:40,-22,0,0,                    ,247,-26.62
22/01 14:27:42,-22,0,0,                    ,247,-26.62
22/01 14:27:43,-24,0,0,                    ,248,-26.62
22/01 14:27:44,-24,0,0,                    ,248,-26.62
22/01 14:27:45,-24,0,0,                    ,248,-29.04
22/01 14:27:46,-24,0,0,                    ,248,-29.04
22/01 14:27:47,-24,0,0,                    ,248,-29.04
22/01 14:27:48,-24,0,0,                    ,248,-29.04
22/01 14:27:49,-24,0,0,                    ,248,-29.04
22/01 14:27:50,-24,0,0,                    ,251,-29.04
22/01 14:27:51,-24,0,0,                    ,251,-29.04
22/01 14:27:52,-20,0,0,                    ,252,-29.04
22/01 14:27:53,-20,0,0,                    ,252,-29.04
22/01 14:27:54,-20,0,0,                    ,252,-24.2
22/01 14:27:55,-20,0,0,                    ,252,-24.2
22/01 14:27:56,-20,0,0,                    ,252,-24.2
22/01 14:27:57,-22,0,0,                    ,254,-24.2
22/01 14:27:58,-22,0,0,                    ,254,-26.62
22/01 14:27:59,-22,0,0,                    ,254,-26.62
22/01 14:28:01,-22,0,0,                    ,254,-26.62
22/01 14:28:02,-20,0,0,                    ,256,-26.62
22/01 14:28:03,-20,0,0,                    ,256,-26.62
22/01 14:28:04,-20,0,0,                    ,256,-24.2
22/01 14:28:05,-20,0,0,                    ,256,-24.2
22/01 14:28:06,-24,0,0,                    ,257,-24.2
22/01 14:28:07,-24,0,0,                    ,257,-24.2
22/01 14:28:08,-24,0,0,                    ,257,-29.04
22/01 14:28:09,-24,0,0,                    ,257,-29.04
22/01 14:28:10,-24,0,0,                    ,257,-29.04
22/01 14:28:11,-22,0,0,                    ,259,-29.04
22/01 14:28:12,-22,0,0,                    ,259,-29.04
22/01 14:28:13,-22,0,0,                    ,259,-26.62
22/01 14:28:14,-22,0,0,                    ,259,-26.62
22/01 14:28:15,-22,0,0,                    ,259,-26.62
22/01 14:28:16,-24,0,0,                    ,261,-26.62
22/01 14:28:17,-24,0,0,                    ,261,-29.04
22/01 14:28:18,-22,0,0,                    ,262,-29.04
22/01 14:28:19,-22,0,0,                    ,262,-29.04
22/01 14:28:20,-22,0,0,                    ,262,-26.62
22/01 14:28:21,-22,0,0,                    ,262,-26.62
22/01 14:28:22,-22,0,0,                    ,264,-26.62
22/01 14:28:23,-22,0,0,                    ,264,-26.62
22/01 14:28:24,-22,0,0,                    ,264,-26.62
22/01 14:28:25,-22,0,0,                    ,264,-26.62
